season,scale,class,Skew,Kurtosis,horizon
Summer,1_county,Neural Network,-0.26689985956040424,2.7264167884518433,21.0
Summer,1_county,Tree-based,-0.883217060756976,3.2825452334802683,21.0
Summer,2_town,Neural Network,-0.2370676917532309,1.2173050203551286,21.0
Summer,2_town,Tree-based,-0.5211735563711789,2.2749862804137426,21.0
Summer,4_neighborhood,Neural Network,0.3462966150403455,3.5333961269317267,21.0
Summer,4_neighborhood,Tree-based,0.08366024596143304,3.635901568170908,21.0
Winter,1_county,Neural Network,-0.1182565789063918,2.278537421512846,21.0
Winter,1_county,Tree-based,-0.2018117929005457,2.818511072915088,21.0
Winter,2_town,Neural Network,-0.20141195026022496,1.4766789082760445,21.0
Winter,2_town,Tree-based,-0.2405374316641371,3.782654706402953,21.0
Winter,4_neighborhood,Neural Network,0.17915251039422136,2.6160012659845586,21.0
Winter,4_neighborhood,Tree-based,-0.032096553436547846,1.913159264601727,21.0
